titulo,año,duracion,ranking,puntuaciones
Cadena perpetua,1994,2h 22m,1,9.3
El padrino,1972,2h 55m,2,9.2
El caballero oscuro,2008,2h 32m,3,9.0
El padrino (parte II),1974,3h 22m,4,9.0
12 hombres sin piedad,1957,1h 36m,5,9.0
La lista de Schindler,1993,3h 15m,6,9.0
El señor de los anillos: El retorno del rey,2003,3h 21m,7,9.0
Pulp Fiction,1994,2h 34m,8,8.9
El señor de los anillos: La comunidad del anillo,2001,2h 58m,9,8.8
"El bueno, el feo y el malo",1966,3h 2m,10,8.8
Forrest Gump,1994,2h 22m,11,8.8
El club de la lucha,1999,2h 19m,12,8.8
El señor de los anillos: Las dos torres,2002,2h 59m,13,8.8
Origen,2010,2h 28m,14,8.8
El imperio contraataca,1980,2h 4m,15,8.7
Matrix,1999,2h 16m,16,8.7
Uno de los nuestros,1990,2h 25m,17,8.7
Alguien voló sobre el nido del cuco,1975,2h 13m,18,8.7
Seven,1995,2h 7m,19,8.6
¡Qué bello es vivir!,1946,2h 10m,20,8.6
Los siete samuráis,1954,3h 27m,21,8.6
Spider-Man: Cruzando el multiverso,2023,2h 20m,22,8.7
Interstellar,2014,2h 49m,23,8.7
El silencio de los corderos,1991,1h 58m,24,8.6
Salvar al soldado Ryan,1998,2h 49m,25,8.6
Ciudad de Dios,2002,2h 10m,26,8.6
La vida es bella,1997,1h 56m,27,8.6
La milla verde,1999,3h 9m,28,8.6
La guerra de las galaxias,1977,2h 1m,29,8.6
Terminator 2: El juicio final,1991,2h 17m,30,8.6
Regreso al futuro,1985,1h 56m,31,8.5
El viaje de Chihiro,2001,2h 5m,32,8.6
El pianista,2002,2h 30m,33,8.5
Psicosis,1960,1h 49m,34,8.5
Parásitos,2019,2h 12m,35,8.5
Gladiator (El gladiador),2000,2h 35m,36,8.5
El rey león,1994,1h 28m,37,8.5
El profesional (Léon),1994,1h 50m,38,8.5
American History X,1998,1h 59m,39,8.5
Infiltrados,2006,2h 31m,40,8.5
Whiplash,2014,1h 46m,41,8.5
El truco final (El prestigio),2006,2h 10m,42,8.5
Sospechosos habituales,1995,1h 46m,43,8.5
La tumba de las luciérnagas,1988,1h 29m,44,8.5
Harakiri,1962,2h 13m,45,8.6
Casablanca,1942,1h 42m,46,8.5
Oppenheimer,2023,3h,47,8.5
Intocable,2011,1h 52m,48,8.5
Tiempos modernos,1936,1h 27m,49,8.5
Cinema Paradiso,1988,2h 35m,50,8.5
Hasta que llegó su hora,1968,2h 45m,51,8.5
La ventana indiscreta,1954,1h 52m,52,8.5
"Alien, el octavo pasajero",1979,1h 57m,53,8.5
Luces de la ciudad,1931,1h 27m,54,8.5
Apocalypse Now,1979,2h 27m,55,8.4
Memento,2000,1h 53m,56,8.4
Django desencadenado,2012,2h 45m,57,8.5
En busca del arca perdida,1981,1h 55m,58,8.4
WALL·E,2008,1h 38m,59,8.4
La vida de los otros,2006,2h 17m,60,8.4
El crepúsculo de los dioses,1950,1h 50m,61,8.4
Senderos de gloria,1957,1h 28m,62,8.4
Vengadores: Infinity War,2018,2h 29m,63,8.4
El resplandor,1980,2h 26m,64,8.4
El gran dictador,1940,2h 5m,65,8.4
Testigo de cargo,1957,1h 56m,66,8.4
Spider-Man: Un nuevo universo,2018,1h 57m,67,8.4
Aliens,1986,2h 17m,68,8.4
Malditos bastardos,2009,2h 33m,69,8.4
El caballero oscuro: La leyenda renace,2012,2h 44m,70,8.4
American Beauty,1999,2h 2m,71,8.3
¿Teléfono rojo? Volamos hacia Moscú,1964,1h 35m,72,8.4
Old Boy,2003,2h,73,8.4
Coco,2017,1h 45m,74,8.4
Amadeus,1984,2h 40m,75,8.4
Toy Story,1995,1h 21m,76,8.3
El submarino (Das Boot),1981,2h 29m,77,8.4
Braveheart,1995,2h 58m,78,8.3
Vengadores: Endgame,2019,3h 1m,79,8.4
Joker,2019,2h 2m,80,8.4
La princesa Mononoke,1997,2h 14m,81,8.3
El indomable Will Hunting,1997,2h 6m,82,8.3
Your Name,2016,1h 46m,83,8.4
Érase una vez en América,1984,3h 49m,84,8.3
3 Idiots,2009,2h 50m,85,8.4
El infierno del odio,1963,2h 23m,86,8.4
Cantando bajo la lluvia,1952,1h 43m,87,8.3
Cafarnaúm,2018,2h 6m,88,8.4
Réquiem por un sueño,2000,1h 42m,89,8.3
Toy Story 3,2010,1h 43m,90,8.3
Masacre (Ven y mira),1985,2h 22m,91,8.4
El retorno del jedi,1983,2h 11m,92,8.3
¡Olvídate de mí!,2004,1h 48m,93,8.3
2001,1968,2h 29m,94,8.3
La caza,2012,1h 55m,95,8.3
Reservoir Dogs,1992,1h 39m,96,8.3
Vivir,1952,2h 23m,97,8.3
Lawrence de Arabia,1962,3h 38m,98,8.3
Ciudadano Kane,1941,1h 59m,99,8.3
"M, el vampiro de Düsseldorf",1931,1h 57m,100,8.3
El apartamento,1960,2h 5m,101,8.3
Con la muerte en los talones,1959,2h 16m,102,8.3
Vértigo (De entre los muertos),1958,2h 8m,103,8.3
Perdición,1944,1h 47m,104,8.3
Amelie,2001,2h 2m,105,8.3
El precio del poder,1983,2h 50m,106,8.3
La chaqueta metálica,1987,1h 56m,107,8.3
La naranja mecánica,1971,2h 16m,108,8.3
Incendios,2010,2h 11m,109,8.3
Heat,1995,2h 50m,110,8.3
Up,2009,1h 36m,111,8.3
Hamilton,2020,2h 40m,112,8.3
Matar a un ruiseñor,1962,2h 9m,113,8.3
El golpe,1973,2h 9m,114,8.3
"Nader y Simin, una separación",2011,2h 3m,115,8.3
Indiana Jones y la última cruzada,1989,2h 7m,116,8.2
Metrópolis,1927,2h 33m,117,8.3
Jungla de cristal,1988,2h 12m,118,8.2
Taare Zameen Par,2007,2h 45m,119,8.3
Snatch,2000,1h 44m,120,8.2
Ladrón de bicicletas,1948,1h 29m,121,8.3
L,1997,2h 18m,122,8.2
Taxi Driver,1976,1h 54m,123,8.2
1917,2019,1h 59m,124,8.2
El hundimiento,2004,2h 36m,125,8.2
Dangal,2016,2h 41m,126,8.3
La muerte tenía un precio,1965,2h 12m,127,8.2
Batman Begins,2005,2h 20m,128,8.2
Top Gun: Maverick,2022,2h 10m,129,8.3
Con faldas y a lo loco,1959,2h 1m,130,8.2
El chico,1921,1h 8m,131,8.2
El lobo de Wall Street,2013,3h,132,8.2
El padre,2020,1h 37m,133,8.2
Green Book,2018,2h 10m,134,8.2
Eva al desnudo,1950,2h 18m,135,8.2
Vencedores o vencidos,1961,2h 59m,136,8.3
El show de Truman,1998,1h 43m,137,8.2
Pozos de ambición,2007,2h 38m,138,8.2
Casino,1995,2h 58m,139,8.2
Ran,1985,2h 40m,140,8.2
Shutter Island,2010,2h 18m,141,8.2
El laberinto del fauno,2006,1h 58m,142,8.2
El sexto sentido,1999,1h 47m,143,8.2
Jurassic Park (Parque Jurásico),1993,2h 7m,144,8.2
Sin perdón,1992,2h 10m,145,8.2
Una mente maravillosa,2001,2h 15m,146,8.2
El tesoro de Sierra Madre,1948,2h 6m,147,8.2
Yojimbo,1961,1h 50m,148,8.2
No es país para viejos,2007,2h 2m,149,8.2
Kill Bill: Volumen 1,2003,1h 51m,150,8.2
Los caballeros de la mesa cuadrada y sus locos seguidores,1975,1h 31m,151,8.2
La cosa (El enigma de otro mundo),1982,1h 49m,152,8.2
La gran evasión,1963,2h 52m,153,8.2
Rashomon,1950,1h 28m,154,8.2
Buscando a Nemo,2003,1h 40m,155,8.2
El hombre elefante,1980,2h 4m,156,8.2
Chinatown,1974,2h 10m,157,8.2
El castillo ambulante,2004,1h 59m,158,8.2
Crimen perfecto,1954,1h 45m,159,8.2
Lo que el viento se llevó,1939,3h 58m,160,8.2
V de vendetta,2005,2h 12m,161,8.2
Toro salvaje,1980,2h 9m,162,8.1
Lock & Stock,1998,1h 47m,163,8.1
Spider-Man: No Way Home,2021,2h 28m,164,8.2
Prisioneros,2013,2h 33m,165,8.1
El secreto de sus ojos,2009,2h 9m,166,8.2
Del revés (Inside Out),2015,1h 35m,167,8.1
Tres anuncios en las afueras,2017,1h 55m,168,8.1
El puente sobre el río Kwai,1957,2h 41m,169,8.1
Trainspotting,1996,1h 33m,170,8.1
Fargo,1996,1h 38m,171,8.1
Warrior,2011,2h 20m,172,8.1
Gran Torino,2008,1h 56m,173,8.1
Atrápame si puedes,2002,2h 21m,174,8.1
Mi vecino Totoro,1988,1h 26m,175,8.1
Million Dollar Baby,2004,2h 12m,176,8.1
Klaus,2019,1h 36m,177,8.2
Harry Potter y las Reliquias de la Muerte: Parte 2,2011,2h 10m,178,8.1
Children of Heaven,1997,1h 29m,179,8.2
Blade Runner,1982,1h 57m,180,8.1
12 años de esclavitud,2013,2h 14m,181,8.1
Antes de amanecer,1995,1h 41m,182,8.1
El gran hotel Budapest,2014,1h 39m,183,8.1
La quimera del oro,1925,1h 35m,184,8.1
Ben-Hur,1959,3h 32m,185,8.1
Perdida,2014,2h 29m,186,8.1
Barry Lyndon,1975,3h 5m,187,8.1
La ley del silencio,1954,1h 48m,188,8.1
Hasta el último hombre,2016,2h 19m,189,8.1
En el nombre del padre,1993,2h 13m,190,8.1
Memories of Murder (Crónica de un asesino en serie),2003,2h 11m,191,8.1
El maquinista de la General,1926,1h 18m,192,8.1
El cazador,1978,3h 3m,193,8.1
Fresas salvajes,1957,1h 31m,194,8.1
El tercer hombre,1949,1h 44m,195,8.1
Relatos salvajes,2014,2h 2m,196,8.1
El salario del miedo,1953,2h 11m,197,8.2
El moderno Sherlock Holmes,1924,45m,198,8.2
El club de los poetas muertos,1989,2h 8m,199,8.1
Mad Max: Furia en la carretera,2015,2h,200,8.1
Caballero sin espada,1939,2h 9m,201,8.1
"Monstruos, S",2001,1h 32m,202,8.1
Tiburón,1975,2h 4m,203,8.1
Cómo entrenar a tu dragón,2010,1h 38m,204,8.1
Mary and Max,2009,1h 32m,205,8.1
El séptimo sello,1957,1h 36m,206,8.1
La habitación,2015,1h 58m,207,8.1
Le Mans '66,2019,2h 32m,208,8.1
El gran Lebowski,1998,1h 57m,209,8.1
Cuentos de Tokio,1953,2h 16m,210,8.1
Ratatouille,2007,1h 51m,211,8.1
Rocky,1976,2h,212,8.1
Hotel Rwanda,2004,2h 1m,213,8.1
Logan,2017,2h 17m,214,8.1
La pasión de Juana de Arco,1928,1h 50m,215,8.1
Spotlight,2015,2h 9m,216,8.1
Platoon,1986,2h,217,8.1
Terminator,1984,1h 47m,218,8.1
Jai Bhim,2021,2h 44m,219,8.8
Antes del atardecer,2004,1h 20m,220,8.1
Rush,2013,2h 3m,221,8.1
"Network, un mundo implacable",1976,2h 1m,222,8.1
Cuenta conmigo,1986,1h 29m,223,8.1
Los mejores años de nuestra vida,1946,2h 50m,224,8.1
El exorcista,1973,2h 2m,225,8.1
El odio,1995,1h 38m,226,8.1
El mago de Oz,1939,1h 42m,227,8.1
Piratas del Caribe: La maldición de la Perla Negra,2003,2h 23m,228,8.1
Hacia rutas salvajes,2007,2h 28m,229,8.1
Los Increíbles,2004,1h 55m,230,8.0
Ser o no ser,1942,1h 39m,231,8.2
Siempre a tu lado (Hachiko),2009,1h 33m,232,8.1
La doncella,2016,2h 25m,233,8.1
Mi padre y mi hijo,2005,1h 52m,234,8.2
La batalla de Argel,1966,2h 1m,235,8.1
Atrapado en el tiempo,1993,1h 41m,236,8.0
Las uvas de la ira,1940,2h 9m,237,8.1
Amores perros,2000,2h 34m,238,8.1
Rebeca,1940,2h 10m,239,8.1
Sonrisas y lágrimas,1965,2h 52m,240,8.1
La leyenda del indomable,1967,2h 7m,241,8.1
Pather Panchali (La canción del camino),1955,2h 5m,242,8.2
El gigante de hierro,1999,1h 26m,243,8.1
Sucedió una noche,1934,1h 45m,244,8.1
Criadas y señoras,2011,2h 26m,245,8.1
Los cuatrocientos golpes,1959,1h 32m,246,8.1
Persona,1966,1h 25m,247,8.1
La vida de Brian,1979,1h 34m,248,8.0
Aladdín,1992,1h 30m,249,8.0
Drishyam,2015,2h 43m,250,8.2
